Date,TCWRS,ETI-5,Tail Risk,BCD,CP,Signal,Close,Forward 20D Max Drawdown %,False Positive,Drawdown Avoided %
2022-04-25,35,5,26.64,36.0,52.93,Red,16620.9,-6.04,False,6.04
2022-04-26,23,3,25.39,20.31,34.31,Strengthened Yellow,16644.79,-6.18,False,0.0
2022-04-27,31,4,30.0,24.61,44.86,Red,16303.35,-4.21,True,4.21
2022-04-28,23,3,28.43,22.75,35.16,Strengthened Yellow,16419.38,-4.89,False,0.0
2022-04-29,23,2,26.1,20.88,28.51,Strengthened Yellow,16592.18,-5.88,False,0.0
2022-05-03,27,2,27.36,21.89,30.46,Strengthened Yellow,16498.9,-5.35,False,0.0
2022-05-04,23,2,26.46,21.16,28.61,Strengthened Yellow,16565.83,-5.73,False,0.0
2022-05-05,23,2,24.7,19.76,28.12,Strengthened Yellow,16696.12,-6.47,False,0.0
2022-05-06,31,3,28.58,22.87,38.4,Strengthened Yellow,16408.2,-4.82,False,0.0
2022-05-09,35,5,34.89,26.74,53.65,Red,16048.92,-2.69,True,2.69
2022-05-10,23,3,33.26,26.61,36.51,Strengthened Yellow,16061.7,-2.77,False,0.0
2022-05-11,27,2,34.01,27.21,32.32,Strengthened Yellow,16006.25,-2.43,False,0.0
2022-05-12,35,5,39.26,31.41,54.99,Red,15616.68,1.38,True,0.0
2022-05-13,23,3,36.35,29.08,37.38,Strengthened Yellow,15832.54,0.43,False,0.0
2022-05-16,23,2,35.43,28.34,31.12,Strengthened Yellow,15901.04,0.39,False,0.0
2022-05-17,23,2,33.33,26.67,30.53,Strengthened Yellow,16056.09,-0.58,False,0.0
2022-05-18,23,2,30.09,24.07,29.62,Strengthened Yellow,16296.86,-2.81,False,0.0
2022-05-19,31,3,33.82,27.05,39.87,Strengthened Yellow,16020.32,-2.37,False,0.0
2022-05-20,23,2,32.14,25.71,30.2,Strengthened Yellow,16144.85,-4.81,False,0.0
2022-05-23,23,2,31.98,25.58,30.15,Strengthened Yellow,16156.41,-4.88,False,0.0
2022-05-24,31,4,34.58,27.67,46.08,Red,15963.63,-3.86,True,3.86
2022-05-25,23,2,32.69,26.15,30.35,Strengthened Yellow,16104.03,-5.76,False,0.0
2022-05-26,31,3,34.51,27.61,40.06,Strengthened Yellow,15968.83,-4.96,False,0.0
2022-05-27,15,0,30.5,24.4,14.54,Green,16266.22,-6.7,False,0.0
2022-05-30,15,0,25.85,20.68,13.24,Green,16610.62,-8.63,False,0.0
2022-05-31,15,0,24.55,18.55,12.77,Green,16807.77,-9.71,False,0.0
2022-06-01,23,1,24.98,19.99,22.19,Yellow,16675.09,-11.09,False,0.0
2022-06-02,19,2,26.63,24.0,27.33,Yellow,16552.57,-13.35,False,0.0
2022-06-06,15,0,25.91,20.73,13.26,Green,16605.96,-14.39,False,0.0
2022-06-07,19,0,27.17,21.74,15.21,Green,16512.88,-13.9,False,0.0
2022-06-08,15,0,25.04,20.03,13.01,Green,16670.51,-16.11,False,0.0
2022-06-09,19,0,25.71,20.57,14.8,Green,16621.34,-15.86,False,0.0
2022-06-10,23,3,27.88,24.0,35.18,Strengthened Yellow,16460.12,-15.03,False,0.0
2022-06-13,35,5,33.13,36.0,54.23,Red,16070.98,-12.98,False,12.98
2022-06-14,35,4,33.45,48.0,49.49,Red,16047.37,-13.07,False,13.07
2022-06-15,35,3,34.1,60.0,44.82,Strengthened Yellow,15999.25,-12.8,False,0.0
2022-06-16,35,5,36.27,72.0,58.45,Red,15838.61,-11.92,False,11.92
2022-06-17,35,5,38.93,84.0,60.19,Red,15641.26,-10.81,False,10.81
2022-06-20,35,5,42.63,96.0,62.13,Red,15367.58,-9.22,False,9.22
2022-06-21,23,2,37.75,30.2,31.77,Strengthened Yellow,15728.64,-11.3,False,0.0
2022-06-22,31,3,42.89,34.31,42.41,Strengthened Yellow,15347.75,-9.1,False,0.0
2022-06-23,35,5,45.2,36.16,56.66,Red,15176.44,-8.08,False,8.08
2022-06-24,23,2,43.49,34.79,33.38,Strengthened Yellow,15303.32,-8.84,False,0.0
2022-06-27,23,2,40.19,32.15,32.45,Strengthened Yellow,15548.01,-10.27,False,0.0
2022-06-28,27,2,41.65,33.32,34.46,Strengthened Yellow,15439.92,-9.65,False,0.0
2022-06-29,35,5,44.35,35.48,56.42,Red,15240.13,-8.46,False,8.46
2022-06-30,35,5,49.94,39.95,57.98,Red,14825.73,-5.9,False,5.9
2022-07-01,38,5,56.45,48.0,61.29,Red,14343.08,-2.74,True,2.74
2022-07-04,35,5,58.15,60.0,61.63,Red,14217.06,-1.87,True,1.87
2022-07-05,23,2,56.37,45.09,36.98,Strengthened Yellow,14349.2,-2.78,False,0.0
2022-07-06,31,4,61.28,49.02,53.56,Red,13985.51,-0.25,True,0.25
2022-07-07,23,2,56.54,45.23,37.03,Strengthened Yellow,14336.27,-2.69,False,0.0
2022-07-08,23,2,54.81,43.85,36.55,Strengthened Yellow,14464.53,-3.55,False,0.0
2022-07-11,31,3,56.48,45.19,46.22,Strengthened Yellow,14340.53,-2.72,False,0.0
2022-07-12,35,5,61.75,49.4,61.29,Red,13950.62,2.68,True,0.0
2022-07-13,23,2,56.7,45.36,37.08,Strengthened Yellow,14324.68,0.79,False,0.0
2022-07-14,23,2,55.16,44.13,36.65,Strengthened Yellow,14438.52,0.78,False,0.0
2022-07-15,23,2,53.65,42.92,36.22,Strengthened Yellow,14550.62,0.99,False,0.0
2022-07-18,23,2,51.37,41.1,35.58,Strengthened Yellow,14719.64,-0.17,False,0.0
2022-07-19,19,0,51.71,41.37,22.08,Yellow,14694.08,0.06,False,0.0
2022-07-20,15,0,51.19,40.95,20.33,Yellow,14733.22,-0.21,False,0.0
2022-07-21,15,0,48.43,38.74,19.56,Yellow,14937.7,-1.58,False,0.0
2022-07-22,15,0,48.27,38.62,19.52,Yellow,14949.36,-1.65,False,0.0
2022-07-25,19,0,48.44,38.76,21.16,Yellow,14936.33,-1.57,False,0.0
2022-07-26,23,2,50.19,40.15,35.25,Strengthened Yellow,14806.78,-0.71,False,0.0
2022-07-27,15,0,48.64,38.91,19.62,Yellow,14921.59,-1.47,False,0.0
2022-07-28,19,0,49.04,39.24,21.33,Yellow,14891.9,-1.27,False,0.0
2022-07-29,15,0,47.58,38.07,19.32,Yellow,15000.07,-1.99,False,0.0
2022-08-01,19,0,47.83,38.27,20.99,Yellow,14981.69,-1.87,False,0.0
2022-08-02,23,3,51.0,40.8,41.48,Strengthened Yellow,14747.23,-0.31,False,0.0
2022-08-03,15,1,50.59,40.48,26.17,Yellow,14777.02,-0.51,False,0.0
2022-08-04,19,0,51.6,41.28,22.05,Yellow,14702.2,0.68,False,0.0
2022-08-05,15,0,47.1,37.68,19.19,Yellow,15036.04,-2.41,False,0.0
2022-08-08,19,0,47.31,37.85,20.85,Yellow,15020.41,-2.39,False,0.0
2022-08-09,15,0,46.91,37.53,19.13,Yellow,15050.28,-2.59,False,0.0
2022-08-10,19,0,48.41,38.73,21.15,Yellow,14939.02,-3.54,False,0.0
2022-08-11,15,0,44.92,35.93,18.58,Yellow,15197.85,-5.18,False,0.0
2022-08-12,15,0,43.69,34.95,18.23,Yellow,15288.97,-5.75,False,0.0
2022-08-15,0,0,41.95,33.56,11.75,Yellow,15417.35,-6.53,False,0.0
2022-08-16,0,0,41.91,33.53,11.73,Yellow,15420.57,-6.55,False,0.0
2022-08-17,0,0,41.3,33.04,11.57,Yellow,15465.45,-6.82,False,0.0
2022-08-18,8,0,42.23,33.79,15.02,Yellow,15396.76,-6.41,False,0.0
2022-08-19,4,0,42.07,33.66,13.38,Yellow,15408.78,-6.48,False,0.0
2022-08-22,23,1,44.28,35.42,27.6,Yellow,15245.14,-5.48,False,0.0
2022-08-23,35,5,46.29,37.03,56.96,Red,15095.89,-4.54,True,4.54
2022-08-24,35,4,46.65,37.32,51.06,Red,15069.19,-5.21,False,5.21
2022-08-25,4,0,44.89,35.91,14.17,Yellow,15200.04,-7.12,False,0.0
2022-08-26,0,0,43.83,35.06,12.27,Yellow,15278.44,-9.82,False,0.0
2022-08-29,31,4,48.58,38.87,50.0,Red,14926.19,-7.69,False,7.69
2022-08-30,23,3,48.21,38.57,40.7,Strengthened Yellow,14953.63,-9.95,False,0.0
2022-08-31,20,2,46.3,37.04,32.96,Yellow,15095.44,-10.79,False,0.0
2022-09-01,31,4,50.26,40.21,50.47,Red,14801.86,-9.3,False,9.3
2022-09-02,35,5,52.0,41.6,58.56,Red,14673.04,-9.35,False,9.35
2022-09-05,35,3,52.16,41.73,46.6,Strengthened Yellow,14661.1,-9.28,False,0.0
2022-09-06,23,2,51.94,41.55,35.74,Strengthened Yellow,14677.2,-9.38,False,0.0
2022-09-07,31,4,55.55,44.44,51.95,Red,14410.05,-7.7,False,7.7
2022-09-08,23,2,53.21,42.57,36.1,Strengthened Yellow,14583.42,-8.8,False,0.0
2022-09-12,23,2,50.18,40.15,35.25,Strengthened Yellow,14807.43,-11.49,False,0.0
2022-09-13,23,2,49.01,39.21,34.92,Strengthened Yellow,14894.41,-12.17,False,0.0
2022-09-14,31,4,52.2,41.76,51.02,Red,14658.31,-12.6,False,12.6
2022-09-15,23,3,52.04,41.63,41.77,Strengthened Yellow,14670.04,-12.67,False,0.0
2022-09-16,27,2,53.5,42.8,37.78,Strengthened Yellow,14561.76,-12.02,False,0.0
2022-09-19,35,5,55.34,44.27,59.49,Red,14425.68,-11.19,False,11.19
2022-09-20,23,2,53.67,42.93,36.23,Strengthened Yellow,14549.3,-11.95,False,0.0
2022-09-21,31,3,55.35,44.28,45.9,Strengthened Yellow,14424.52,-11.19,False,0.0
2022-09-22,35,5,57.24,45.79,60.03,Red,14284.63,-10.32,False,10.32
2022-09-23,35,5,59.48,47.59,60.66,Red,14118.38,-9.26,False,9.26
2022-09-26,35,5,64.07,51.26,61.94,Red,13778.19,-8.07,False,8.07
2022-09-27,23,3,63.42,50.74,44.96,Strengthened Yellow,13826.59,-8.39,False,0.0
2022-09-28,31,4,68.28,54.63,55.52,Red,13466.07,-5.94,False,5.94
2022-09-29,23,3,67.36,53.89,46.06,Strengthened Yellow,13534.26,-6.41,False,0.0
2022-09-30,31,3,68.84,55.08,49.68,Strengthened Yellow,13424.58,-5.65,False,0.0
2022-10-03,35,5,70.52,56.42,63.75,Red,13300.48,-4.77,True,4.77
2022-10-04,23,2,66.79,53.44,39.9,Strengthened Yellow,13576.52,-6.71,False,0.0
2022-10-05,23,2,63.76,51.01,39.05,Strengthened Yellow,13801.43,-8.23,False,0.0
2022-10-06,23,2,62.54,50.03,38.71,Strengthened Yellow,13892.05,-8.82,False,0.0
2022-10-07,31,3,65.1,52.08,48.63,Strengthened Yellow,13702.28,-7.56,False,0.0
2022-10-11,38,5,73.14,58.51,65.68,Red,13106.03,-3.36,True,3.36
2022-10-12,35,4,73.48,58.78,58.57,Red,13081.24,-3.17,True,3.17
2022-10-13,35,5,77.13,61.7,65.6,Red,12810.73,-1.13,True,1.13
2022-10-14,23,2,72.85,58.28,41.6,Strengthened Yellow,13128.12,-3.52,False,0.0
2022-10-17,31,3,75.03,60.03,51.41,Strengthened Yellow,12966.05,-2.31,False,0.0
2022-10-18,23,2,72.89,58.31,41.61,Strengthened Yellow,13124.68,-3.49,False,0.0
2022-10-19,31,3,74.89,59.91,51.37,Strengthened Yellow,12976.76,-2.39,False,0.0
2022-10-20,35,4,75.3,60.24,59.08,Red,12946.1,-2.16,True,2.16
2022-10-21,35,5,77.01,61.61,65.56,Red,12819.2,-1.19,True,1.19
2022-10-24,23,2,76.5,61.2,42.62,Strengthened Yellow,12856.98,-1.48,False,0.0
2022-10-25,31,4,79.08,63.26,58.54,Red,12666.12,0.5,True,0.0
2022-10-26,23,2,78.23,62.58,43.1,Strengthened Yellow,12729.05,0.47,False,0.0
2022-10-27,23,2,75.57,60.45,42.36,Strengthened Yellow,12926.37,-1.07,False,0.0
2022-10-28,31,3,77.43,61.94,52.08,Strengthened Yellow,12788.42,1.26,False,0.0
2022-10-31,23,2,75.25,60.2,42.27,Strengthened Yellow,12949.75,0.28,False,0.0
2022-11-01,23,2,74.07,59.26,41.94,Strengthened Yellow,13037.21,-0.39,False,0.0
2022-11-02,15,0,73.22,58.58,26.5,Yellow,13100.17,-0.87,False,0.0
2022-11-03,31,3,74.76,59.8,51.33,Strengthened Yellow,12986.6,0.31,False,0.0
2022-11-04,15,0,74.21,59.37,26.78,Yellow,13026.71,1.51,False,0.0
2022-11-07,15,0,71.56,57.24,26.04,Yellow,13223.73,0.94,False,0.0
2022-11-08,15,0,69.88,55.91,25.57,Yellow,13347.76,1.17,False,0.0
2022-11-09,15,0,65.95,52.76,24.47,Yellow,13638.81,-0.99,False,0.0
2022-11-10,23,1,67.78,54.22,34.18,Strengthened Yellow,13503.76,3.73,False,0.0
2022-11-11,0,0,60.98,48.78,17.07,Yellow,14007.56,1.19,False,0.0
2022-11-14,0,0,58.72,46.98,16.44,Yellow,14174.9,1.94,False,0.0
2022-11-15,0,0,53.71,42.97,15.04,Yellow,14546.31,-0.67,False,0.0
2022-11-16,4,0,53.83,43.06,16.67,Yellow,14537.35,-0.61,False,0.0
2022-11-17,4,1,53.86,43.09,22.68,Yellow,14535.23,-0.59,False,0.0
2022-11-18,4,1,54.27,43.41,22.79,Yellow,14504.99,-0.38,False,0.0
2022-11-19,4,0,54.27,43.41,16.79,Yellow,14504.99,-0.38,False,0.0
2022-11-21,8,0,55.02,44.01,18.6,Yellow,14449.39,-0.11,False,0.0
2022-11-22,0,0,53.76,43.01,15.05,Yellow,14542.2,-2.56,False,0.0
2022-11-23,0,0,52.87,42.29,14.8,Yellow,14608.54,-3.0,False,0.0
2022-11-24,0,0,50.5,40.4,14.14,Yellow,14784.0,-4.15,False,0.0
2022-11-25,4,0,50.57,40.46,15.76,Yellow,14778.51,-4.12,False,0.0
2022-11-28,12,3,53.57,42.85,37.8,Yellow,14556.87,-2.66,False,0.0
2022-11-29,0,0,51.5,41.2,14.42,Yellow,14709.64,-3.67,False,0.0
2022-11-30,0,0,49.21,39.37,13.78,Yellow,14879.55,-4.77,False,0.0
2022-12-01,0,0,47.41,37.93,13.28,Yellow,15012.8,-6.18,False,0.0
2022-12-02,4,0,47.98,38.39,15.03,Yellow,14970.68,-5.92,False,0.0
2022-12-05,0,0,47.85,38.28,13.4,Yellow,14980.74,-5.98,False,0.0
2022-12-06,12,2,51.24,41.0,31.15,Yellow,14728.88,-4.37,False,0.0
2022-12-07,8,2,52.58,42.06,29.92,Yellow,14630.01,-3.73,False,0.0
2022-12-08,32,4,53.62,42.89,51.81,Red,14553.04,-3.22,True,3.22
2022-12-09,4,0,51.56,41.25,16.04,Yellow,14705.43,-4.22,False,0.0
2022-12-12,20,2,52.81,42.25,34.79,Yellow,14612.59,-3.61,False,0.0
2022-12-13,32,4,54.02,43.22,51.93,Red,14522.96,-3.02,True,3.02
2022-12-14,0,0,51.1,40.88,14.31,Yellow,14739.36,-4.44,False,0.0
2022-12-15,4,0,51.17,40.94,15.93,Yellow,14734.13,-4.41,False,0.0
2022-12-16,28,5,53.95,43.16,56.31,Red,14528.55,-3.05,True,3.05
2022-12-19,32,4,55.23,44.19,52.27,Red,14433.32,-2.41,True,2.41
2022-12-20,32,5,58.79,48.0,59.36,Red,14170.03,-0.6,True,0.6
2022-12-21,20,3,57.92,46.33,42.22,Yellow,14234.4,-1.05,False,0.0
2022-12-22,20,2,55.1,44.08,35.43,Yellow,14442.94,-2.48,False,0.0
2022-12-23,28,3,57.41,45.93,45.28,Strengthened Yellow,14271.63,-1.31,False,0.0
2022-12-26,20,3,57.23,45.79,42.03,Yellow,14285.13,-1.4,False,0.0
2022-12-27,20,2,56.65,45.32,35.86,Yellow,14328.43,-1.7,False,0.0
2022-12-28,28,3,58.74,47.0,45.65,Strengthened Yellow,14173.1,-0.62,False,0.0
2022-12-29,32,4,59.93,47.95,53.58,Red,14085.02,0.37,True,0.0
2022-12-30,20,2,59.22,47.38,36.58,Yellow,14137.69,0.0,False,0.0
