Date,TCWRS,ETI-5,eti_available_count,eti_raw_score,eti_capped_score,eti_cap_reason,Tail Risk,BCD,CP,bear_trend_score,bear_trend_floor_signal,red_confirmed_by,signal_before_stability_rule,signal_after_stability_rule,red_lock_active,Signal,Close,forward_5d_max_drawdown,forward_10d_max_drawdown,forward_20d_max_drawdown,forward_40d_max_drawdown,forward_60d_max_drawdown,Forward 20D Max Drawdown %,false_positive_20d,false_positive_40d,false_positive_60d,delayed_valid_signal,False Positive,Drawdown Avoided %
2022-07-01,38,1,1,1,1,available components <= 2; capped at 2,56.45,48.0,37.29,4,Orange,,Orange,Orange,False,Orange,14343.08,-2.49,-2.74,-2.74,-2.74,-3.94,-2.74,True,True,True,False,True,3.94
2022-07-04,35,1,1,1,1,available components <= 2; capped at 2,58.15,60.0,37.63,4,Orange,,Orange,Orange,False,Orange,14217.06,-1.63,-1.87,-1.87,-1.87,-3.09,-1.87,True,True,True,False,True,3.09
2022-07-05,23,1,1,1,1,available components <= 2; capped at 2,56.37,45.09,30.98,4,Orange,,Orange,Orange,False,Orange,14349.2,-2.78,-2.78,-2.78,-2.78,-6.15,-2.78,True,True,True,False,True,6.15
2022-07-06,31,1,1,1,1,available components <= 2; capped at 2,61.28,49.02,35.56,4,Orange,,Orange,Orange,False,Orange,13985.51,-0.25,-0.25,-0.25,-0.25,-3.71,-0.25,True,True,True,False,True,3.71
2022-07-07,23,1,1,1,1,available components <= 2; capped at 2,56.54,45.23,31.03,4,Orange,,Orange,Orange,False,Orange,14336.27,-2.69,-2.69,-2.69,-2.69,-6.36,-2.69,True,True,True,False,True,6.36
2022-07-08,23,1,1,1,1,available components <= 2; capped at 2,54.81,43.85,30.55,4,Orange,,Orange,Orange,False,Orange,14464.53,-3.55,-3.55,-3.55,-3.55,-8.05,-3.55,True,True,True,False,True,8.05
2022-07-11,31,1,1,1,1,available components <= 2; capped at 2,56.48,45.19,34.22,4,Orange,,Orange,Orange,False,Orange,14340.53,-2.72,-2.72,-2.72,-2.72,-7.25,-2.72,True,True,True,False,True,7.25
2022-07-12,35,1,1,1,1,available components <= 2; capped at 2,61.75,49.4,37.29,4,Orange,,Orange,Orange,False,Orange,13950.62,2.68,2.68,2.68,2.68,-4.66,2.68,True,True,True,False,True,4.66
2022-07-13,23,1,1,1,1,available components <= 2; capped at 2,56.7,45.36,31.08,4,Orange,,Orange,Orange,False,Orange,14324.68,0.79,0.79,0.79,0.6,-7.15,0.79,True,True,True,False,True,7.15
2022-07-14,23,1,1,1,1,available components <= 2; capped at 2,55.16,44.13,30.65,4,Orange,,Orange,Orange,False,Orange,14438.52,0.78,0.78,0.78,-0.2,-7.88,0.78,True,True,True,False,True,7.88
2022-07-15,23,1,1,1,1,available components <= 2; capped at 2,53.65,42.92,30.22,4,Orange,,Orange,Orange,False,Orange,14550.62,0.99,0.99,0.99,-0.97,-9.93,0.99,True,True,True,False,True,9.93
2022-07-18,23,1,1,1,1,available components <= 2; capped at 2,51.37,41.1,29.58,4,Orange,,Orange,Orange,False,Orange,14719.64,-0.17,-0.17,-0.17,-2.1,-11.13,-0.17,True,True,False,True,False,11.13
2022-07-19,19,0,1,0,0,available components <= 2; capped at 2,51.71,41.37,22.08,4,Orange,,Orange,Orange,False,Orange,14694.08,0.27,0.27,0.06,-1.93,-12.82,0.06,True,True,False,True,False,12.82
2022-07-20,15,0,1,0,0,available components <= 2; capped at 2,51.19,40.95,20.33,4,Orange,,Orange,Orange,False,Orange,14733.22,0.5,0.1,-0.21,-2.19,-13.05,-0.21,True,True,False,True,False,13.05
2022-07-21,15,0,1,0,0,available components <= 2; capped at 2,48.43,38.74,19.56,4,Orange,,Orange,Orange,False,Orange,14937.7,-0.88,-1.58,-1.58,-3.53,-14.24,-1.58,True,True,False,True,False,14.24
2022-07-22,15,0,1,0,0,available components <= 2; capped at 2,48.27,38.62,19.52,4,Orange,,Orange,Orange,False,Orange,14949.36,-0.95,-1.65,-1.65,-3.61,-14.31,-1.65,True,True,False,True,False,14.31
2022-07-25,19,0,1,0,0,available components <= 2; capped at 2,48.44,38.76,21.16,4,Orange,,Orange,Orange,False,Orange,14936.33,-0.87,-1.57,-1.57,-3.52,-14.23,-1.57,True,True,False,True,False,14.23
2022-07-26,23,0,1,0,0,available components <= 2; capped at 2,50.19,40.15,23.25,4,Orange,,Orange,Orange,False,Orange,14806.78,-0.4,-0.71,-0.71,-2.68,-13.48,-0.71,True,True,False,True,False,13.48
2022-07-27,15,0,1,0,0,available components <= 2; capped at 2,48.64,38.91,19.62,4,Orange,,Orange,Orange,False,Orange,14921.59,-1.17,-1.47,-1.47,-4.27,-14.15,-1.47,True,True,False,True,False,14.15
2022-07-28,19,0,1,0,0,available components <= 2; capped at 2,49.04,39.24,21.33,4,Orange,,Orange,Orange,False,Orange,14891.9,-1.27,-1.27,-1.27,-5.19,-13.98,-1.27,True,True,False,True,False,13.98
2022-07-29,15,0,1,0,0,available components <= 2; capped at 2,47.58,38.07,19.32,4,Orange,,Orange,Orange,False,Orange,15000.07,-1.99,-1.99,-1.99,-8.15,-15.56,-1.99,True,False,False,True,False,15.56
2022-08-01,19,0,1,0,0,available components <= 2; capped at 2,47.83,38.27,20.99,4,Orange,,Orange,Orange,False,Orange,14981.69,-1.87,-1.87,-1.87,-8.03,-15.46,-1.87,True,False,False,True,False,15.46
2022-08-02,23,0,1,0,0,available components <= 2; capped at 2,51.0,40.8,23.48,4,Orange,,Orange,Orange,False,Orange,14747.23,-0.31,-0.31,-0.31,-8.69,-14.11,-0.31,True,False,False,True,False,14.11
2022-08-03,15,0,1,0,0,available components <= 2; capped at 2,50.59,40.48,20.17,4,Orange,,Orange,Orange,False,Orange,14777.02,-0.51,-0.51,-0.51,-8.87,-14.29,-0.51,True,False,False,True,False,14.29
2022-08-04,19,0,1,0,0,available components <= 2; capped at 2,51.6,41.28,22.05,4,Orange,,Orange,Orange,False,Orange,14702.2,1.61,1.61,0.68,-8.69,-13.85,0.68,True,False,False,True,False,13.85
2022-08-05,15,0,1,0,0,available components <= 2; capped at 2,47.1,37.68,19.19,4,Orange,,Orange,Orange,False,Orange,15036.04,-0.65,-0.65,-2.41,-11.54,-15.76,-2.41,True,False,False,True,False,15.76
2022-08-08,19,0,1,0,0,available components <= 2; capped at 2,47.31,37.85,20.85,4,Orange,,Orange,Orange,False,Orange,15020.41,-0.54,-0.54,-2.39,-11.45,-15.67,-2.39,True,False,False,True,False,15.67
2022-08-09,15,0,1,0,0,available components <= 2; capped at 2,46.91,37.53,19.13,4,Orange,,Orange,Orange,False,Orange,15050.28,-0.74,-0.74,-2.59,-11.63,-15.84,-2.59,True,False,False,True,False,15.84
2022-08-10,19,0,1,0,0,available components <= 2; capped at 2,48.41,38.73,21.15,4,Orange,,Orange,Orange,False,Orange,14939.02,1.73,0.87,-3.54,-10.97,-15.21,-3.54,True,False,False,True,False,15.21
2022-08-11,15,0,1,0,0,available components <= 2; capped at 2,44.92,35.93,18.58,4,Orange,,Orange,Orange,False,Orange,15197.85,0.6,-0.85,-5.18,-12.48,-16.66,-5.18,False,False,False,False,False,16.66
2022-08-12,15,0,1,0,0,available components <= 2; capped at 2,43.69,34.95,18.23,4,Orange,,Orange,Orange,False,Orange,15288.97,0.71,-1.44,-5.75,-14.28,-17.16,-5.75,False,False,False,False,False,17.16
2022-08-15,0,0,1,0,0,available components <= 2; capped at 2,41.95,33.56,11.75,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,15417.35,-1.12,-3.19,-6.53,-15.15,-17.85,-6.53,False,False,False,False,False,0.0
2022-08-16,0,0,1,0,0,available components <= 2; capped at 2,41.91,33.53,11.73,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,15420.57,-2.11,-3.21,-6.55,-16.92,-17.86,-6.55,False,False,False,False,False,0.0
2022-08-17,0,0,1,0,0,available components <= 2; capped at 2,41.3,33.04,11.57,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,15465.45,-2.56,-3.49,-6.82,-17.17,-18.1,-6.82,False,False,False,False,False,0.0
2022-08-18,8,0,1,0,0,available components <= 2; capped at 2,42.23,33.79,15.02,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,15396.76,-2.13,-3.86,-6.41,-16.8,-17.74,-6.41,False,False,False,False,False,0.0
