Date,TCWRS,ETI-5,eti_available_count,eti_raw_score,eti_capped_score,eti_cap_reason,Tail Risk,BCD,CP,bear_trend_score,bear_trend_floor_signal,red_confirmed_by,signal_before_stability_rule,signal_after_stability_rule,red_lock_active,Signal,Close,forward_5d_max_drawdown,forward_10d_max_drawdown,forward_20d_max_drawdown,forward_40d_max_drawdown,forward_60d_max_drawdown,Forward 20D Max Drawdown %,false_positive_20d,false_positive_40d,false_positive_60d,delayed_valid_signal,False Positive,Drawdown Avoided %
2020-03-09,35,1,1,1,1,available components <= 2; capped at 2,41.99,24.18,30.81,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10977.64,-11.48,-20.92,-20.92,-20.92,-20.92,-20.92,False,False,False,False,False,0.0
2020-03-10,23,1,1,1,1,available components <= 2; capped at 2,25.55,22.0,22.51,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,11000.34,-14.19,-21.08,-21.08,-21.08,-21.08,-21.08,False,False,False,False,False,0.0
2020-03-11,31,1,1,1,1,available components <= 2; capped at 2,26.4,25.05,26.18,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10893.75,-15.38,-20.31,-20.31,-20.31,-20.31,-20.31,False,False,False,False,False,0.0
2020-03-12,38,1,1,1,1,available components <= 2; capped at 2,47.29,42.91,34.95,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10422.32,-16.7,-16.7,-16.7,-16.7,-16.7,-16.7,False,False,False,False,False,0.0
2020-03-13,38,1,1,1,1,available components <= 2; capped at 2,63.19,52.51,39.09,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10128.87,-14.29,-14.29,-14.29,-14.29,-14.29,-14.29,False,False,False,False,False,0.0
2020-03-16,38,1,1,1,1,available components <= 2; capped at 2,60.84,66.66,40.03,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9717.77,-10.67,-10.67,-10.67,-10.67,-10.67,-10.67,False,False,False,False,False,0.0
2020-03-17,38,1,1,1,1,available components <= 2; capped at 2,61.24,74.65,40.91,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9439.63,-8.03,-8.03,-8.03,-8.03,-8.03,-8.03,False,False,False,False,False,0.0
2020-03-18,35,1,1,1,1,available components <= 2; capped at 2,60.78,80.01,40.16,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9218.67,-5.83,-5.83,-5.83,-5.83,-5.83,-5.83,False,False,False,False,False,0.0
2020-03-19,38,1,1,1,1,available components <= 2; capped at 2,72.3,98.87,45.55,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,8681.34,2.4,2.4,2.4,2.4,2.4,2.4,False,False,False,False,False,0.0
2020-03-20,23,1,1,1,1,available components <= 2; capped at 2,60.46,68.36,34.13,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9234.09,-3.73,-3.73,-3.73,-3.73,-3.73,-3.73,False,False,False,False,False,0.0
2020-03-23,34,1,1,1,1,available components <= 2; capped at 2,67.53,78.94,41.0,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,8890.03,4.45,4.45,4.45,4.45,4.45,4.45,False,False,False,False,False,0.0
2020-03-24,23,1,1,1,1,available components <= 2; capped at 2,59.41,55.46,32.63,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9285.62,3.7,3.7,3.7,3.7,3.7,3.7,False,False,False,False,False,0.0
2020-03-25,23,1,1,1,1,available components <= 2; capped at 2,56.26,41.63,30.62,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9644.75,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,False,False,False,False,False,0.0
2020-03-26,23,1,1,1,1,available components <= 2; capped at 2,56.69,40.12,30.55,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9736.36,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,False,False,False,False,False,0.0
2020-03-27,27,1,1,1,1,available components <= 2; capped at 2,56.68,40.74,32.21,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9698.92,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,False,False,False,False,False,0.0
2020-03-30,35,1,1,1,1,available components <= 2; capped at 2,55.98,41.88,35.38,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9629.43,0.36,0.36,0.36,0.36,0.36,0.36,False,False,False,False,False,0.0
2020-03-31,23,1,1,1,1,available components <= 2; capped at 2,56.09,40.59,30.48,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9708.06,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,False,False,False,False,False,0.0
2020-04-01,27,1,1,1,1,available components <= 2; capped at 2,55.56,41.32,32.04,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9663.63,1.61,1.61,1.61,1.61,1.61,1.61,False,False,False,False,False,0.0
2020-04-06,23,1,1,1,1,available components <= 2; capped at 2,56.31,38.77,30.34,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9818.74,1.81,1.81,1.81,1.81,1.81,1.81,False,False,False,False,False,0.0
2020-04-07,15,0,1,0,0,available components <= 2; capped at 2,56.24,35.85,20.83,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,9996.39,1.03,1.03,1.03,1.03,1.03,1.03,False,False,False,False,False,0.0
2020-04-08,15,0,1,0,0,available components <= 2; capped at 2,56.69,33.54,20.69,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10137.47,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,False,False,False,False,False,0.0
2020-04-09,19,0,1,0,0,available components <= 2; capped at 2,56.64,33.83,22.31,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10119.43,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,False,False,False,False,False,0.0
2020-04-10,15,0,1,0,0,available components <= 2; capped at 2,54.08,33.21,20.14,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10157.61,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,False,False,False,False,False,0.0
2020-04-13,19,0,1,0,0,available components <= 2; capped at 2,52.89,34.16,21.6,3,Strengthened Yellow,,Strengthened Yellow,Strengthened Yellow,False,Strengthened Yellow,10099.22,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0
